,text,label
0,how did serfdom develop in and then leave russia,0
1,what films featured the character popeye doyle,1
2,how can i find a list of celebrities real names,0
3,what fowl grabs the spotlight after the chinese year of the monkey,1
4,what is the full form of com,2
5,what contemptible scoundrel stole the cork from my lunch,3
6,what team did baseball s st louis browns become,3
7,what is the oldest profession,3
8,what are liver enzymes,0
9,name the scarfaced bounty hunter of the old west,3
10,when was ozzy osbourne born,5
11,why do heavier objects travel downhill faster,0
12,who was the pride of the yankees,3
13,who killed gandhi,3
14,what is considered the costliest disaster the insurance industry has ever faced,1
15,what sprawling us state boasts the most airports,4
16,what did the only repealed amendment to the us constitution deal with,0
17,how many jews were executed in concentration camps during wwii,5
18,what is nine inch nails,0
19,what is an annotated bibliography,0
20,what is the date of boxing day,5
21,what articles of clothing are tokens in monopoly,1
22,name 11 famous martyrs,3
23,what is the olympic motto,0
24,what is the origin of the name scarlett,0
25,what is the secondmostused vowel in english,1
26,who was the inventor of silly putty,3
27,what is the highest waterfall in the united states,4
28,name a golf course in myrtle beach,1
29,which two states enclose chesapeake bay,4
30,what does the abbreviation aids stand for,2
31,what does a spermologer collect,1
32,how many points make up a perfect fivepin bowling score,5
33,which company that manufactures videogame hardware sells the super system,3
34,how many community chest cards are there in monopoly,5
35,what do mormons believe,0
36,when did the neanderthal man live,5
37,in what religion was isis the nature goddess,1
38,where do the adventures of the swiss family robinson take place,4
39,what relative of the racoon is sometimes known as the catbear,1
40,how can i register my website in yahoo for free,0
41,what was cashconscious colonel edwin l drake the first to drill,1
42,how many people in the world speak french,5
43,how many inches over six feet is the venus de milo,5
44,how do they find or choose witnesses to an execution,0
45,what 1920s cowboy star rode tony the wonder horse,3
46,what cocktail inspired john doxat to write the book stirrednot shaken,1
47,what isps exist in the caribbean,3
48,how do you ask a total stranger out on a date,0
49,what weapon is the mythological character apollo most proficient with,1
50,what country do the galapagos islands belong to,4
51,what is ethology,0
52,who was the prophet of the muslim people,3
53,where did the term 86ed come from,0
54,who is snoopy s archenemy,3
55,what is the nature of learning,0
56,what is the only color johnny cash wears on stage,1
57,what is the term for a young fox,1
58,what us state lived under six flags,4
59,what is the kashmir issue,0
60,where is the loop,4
61,what does extended definition mean and how would one write a paper on it,0
62,what country s capital is tirana,4
63,what is titanium,0
64,who do herb and tootsie live next door to,3
65,which city has the oldest relationship as a sistercity with los angeles,4
66,what is a caldera,0
67,why do people get calluses,0
68,what are the names of the tourist attractions in reims,4
69,what are cushman and wakefield known for,0
70,what body of water does the danube river flow into,4
71,who is the founder of scientology,3
72,what does the sixfooted musca domestica become when it enters a house,1
73,what is the history of skateboarding,0
74,who starred in singing in the rain and the singing nun,3
75,how do i make fuel bricks from recycled newspaper,0
76,what 19thcentury painter died in the marquesas islands,3
77,the corpus callosum is in what part of the body,1
78,how do i log on to home page at headquarters us european command,0
79,what country did the nazis occupy for 1 cd nns in nnp nnp nnp,4
80,what is nebraska s most valuable resource,1
81,how many species of the great white shark are there,5
82,what is the origin of head lice,0
83,what is the nickname for the state of mississippi,4
84,what was the first domesticated bird,1
85,how many villi are found in the small intestine,5
86,what country did king wenceslas rule,4
87,what is a fear of shadows,1
88,who were the five marx brothers,3
89,in which year was new zealand excluded from the anzus alliance,5
90,when did cnn begin broadcasting,5
91,what causes the body to shiver in cold temperatures,0
92,what are bear and bull markets,0
93,what jrr tolkien book features bilbo baggins as the central character,1
94,what is dew point,0
95,what is the meaning of jesus,0
96,what company s logo is a w in a circle,3
97,what is the definition of a cascade,0
98,when did rococo painting and architecture flourish,5
99,what country s national passenger rail system is called via,4
100,who invented makeup,3
101,what is the origin of the word attic,0
102,what did delilah do to samson s hair,0
103,what kind of animals were in the paleozoic era,1
104,which of the following was rhodes scholar,3
105,who comprised the nowdefunct comic book team known as the champions,3
106,how do you make a paintball,0
107,what us state is fort knox in,4
108,what is a female rabbit called,1
109,where is the highest point in japan,4
110,where do chihuahuas come from,0
111,where does barney rubble go to work after he drops fred off in the flintstones cartoon series,4
112,what are the world s four oceans,4
113,what is the only work by michelangelo that bears his signature,1
114,what is the largest snake in the world,1
115,in what medium is stuart hamblen considered to be the first singing cowboy,1
116,where on the internet can i find a song lyrics database similar to the international lyrics server,4
117,how much money does a back injury lawsuit get,5
118,what is the common name for acetylsalicylic acid,1
119,what does the georgetown hoya mean,0
120,where can i find a list of classic books 5th and 6th graders should read,4
121,which two products use a tiger as their symbol,1
122,how is the election of a new pope announced to the world,0
123,how long does it take for your blood to make one complete trip through the body,5
124,how do chickens have baby chicks,0
125,what is the historical relationship of catholic church and bingo,0
126,how was the element calcium named,0
127,what crooner joined the andrews sisters for pistol packin mama,3
128,what piano company claims its product is the instrument of the immortals,3
129,when did the bounty mutiny take place,5
130,what novel inspired the movie bladerunner,1
131,what is a transistor,0
132,what is a film starring jude law,1
133,what hollywood dog died in the arms of jean harlow in 1932,1
134,what are the most common elements in the earth s crust,1
135,how much would it cost to purchase a 2footsquare party tent with sides,5
136,what actress has received the most oscar nominations,3
137,what are equity securities,0
138,what is gymnophobia,0
139,how many years do fossils take to form,5
140,where is the orinoco,4
141,what was the name of the little rascals dog,1
142,what city boasts penn s landing on the banks of the delaware river,4
143,what broadway musical was inspired by cervantes s don quixote,1
144,what is the origin of the word jj,0
145,how many hostages were killed in the entebbe raid,5
146,how you can raise your iq,0
147,what does inri stand for when used on jesus cross,2
148,who produces spumante,3
149,who earns their money the hard way,3
150,who founded the people s temple commune,3
151,what athlete makes the most money from sports merchandise sales,3
152,how many bends are there in a standard paper clip,5
153,who discovered electricity,3
154,what part of your body contains the corpus callosum,1
155,who was the first american in space,3
156,what two south american countries do nt border brazil,4
157,what album put the beatles on the cover of time in 1967,1
158,what poem contains the line grow old with me the best is yet to be,1
159,what is a dental root canal,0
160,what war did the wannagohome riots occur after,1
161,what is the busiest air travel season,5
162,what is the colored part of the eye called,1
163,what are hook worms,0
164,where is the rose bowl played,4
165,which japanese car maker had its biggest percentage of sale in the domestic market,3
166,who is the mayor of marbella,3
167,what sunblasted 14mile wide valley is just north of the mojave desert,4
168,in what year did thatcher become prime minister,5
169,how many months does it take the moon to revolve around the earth,5
170,where are the 49 steps,4
171,in what year was de gaulle elected president of france,5
172,who sings the themes for dawson s creek and felicity,3
173,who directed jaws,3
174,on what tv show could tom terrific be found,1
175,what indian tribe is f troop perpetually doing battle with,3
176,where did indian pudding come from,0
177,why do some clothing labels say use a nonchlorine bleach,0
178,how many colonies were involved in the american revolution,5
179,what is the name of the city that maurizio pellegrin lives in,4
180,where can i find pictorial directions on how to build a very simple treehouse,4
181,what game s board shows the territories of irkutsk yakutsk and kamchatka,1
182,what is the name of the managing director of apricot computer,3
183,what is the occupation of nicholas cage,3
184,why do horseshoes bring luck,0
185,what is the 401 k plan,0
186,what causes pneumonia,0
187,what are the three winter months in the southern hemisphere,5
188,what does gringo mean,0
189,what country contains africa s northernmost point,4
190,what therapy attempts to elicit the primal scream,1
191,where is the kalahari desert,4
192,which ventura county police department seized the largest cocaine shipment in it is history,3
193,what city is sometimes called gotham,4
194,what dangles over the tongue from the palate,1
195,who created dennis the menace,3
196,what dummy received an honorary degree from northwestern university,3
197,when was the first wall street journal published,5
198,what countries have the largest areas of forest,4
199,how do i start a web based business,0
200,name alvin s brothers,3
201,what is eagle s syndrome styloid process,0
202,how did jayne mansfield die,0
203,when did the royal wedding of prince andrew and fergie take place,5
204,what actor said in a day at the races either he is dead or my watch has stopped,3
205,what explorer was nicknamed iberia s pilot,3
206,cnn began broadcasting in what year,5
207,what is a ball that hits the foul pole called,1
208,what makes hamburgers taste like steakburgers,0
209,which company created the internet browser mosaic,3
210,what are the rites accompanying the circumcision of a newly bornchild in judaism called,1
211,what was the education system in the 1960 s,1
212,what south american city has the world s highest commercial landing field,4
213,how can i find out which cities have cablemodem access,0
214,what is betsy ross famous for,0
215,how many species of sharks are there,5
216,what is snoogans,0
217,how many people are there in the world,5
218,what shrubs can be planted that will be safe from deer,1
219,what organization s offices were broken into at watergate in 1972,3
220,what is the design of the ship titanic,0
221,what does sos stand for,2
222,name a technique widely used to detect birth defects,1
223,what is the daily requirement of folic acid for an expectant mother,0
224,what is the 7minute cigarette,0
225,what four forms does gold occur in,1
226,what is the acreage of the chappellet vineyard,5
227,how do you correctly say the word qigong,0
228,when did beethoven die,5
229,how much does a new railroad coal car cost,5
230,what two european countries entered the war of american independence against the british,4
231,what is the filmmakers collabrative,0
232,what russian composer s prelude in c sharp minor brought him fame and fortune,3
233,what caused harry houdini s death,0
234,who was the mother of the man who would not be king the duke of windsor,3
235,how many revolutions does a standard lp make in three minutes,5
236,what is the name of the tallest mountain in the world,4
237,where can i find a review of nightmare on elm street in a film journal,4
238,what is the slowest olympic swimming stroke,1
239,what was the name of the first russian astronaut to do a spacewalk,3
240,what disease is transmitted by the anopheles mosquito,1
241,what rum is so mixable it is a onebrand bar,1
242,how many south american countries have the letter z in their names,5
243,what is the contents of proposition 98,0
244,where was george washington born,4
245,how many people on the ground were killed from the bombing of pan am flight 103 over lockerbie scotland december 21 cd,5
246,who wrote nn dt nnp nnp,3
247,what is paracetamol,0
248,what are the powers and weaknesses of green lantern s ring,0
249,which mosquito s bite draws blood dt nn cc dt nn,1
250,when was the first steel mill in the united states built,5
251,what diminutive american female gymnast stole the show at the 1984 olympics,3
252,what is the origin of the name katie,0
253,what schools in the washington dc nn nn vbp nn nn nn nn,3
254,when did the berlin wall go up,5
255,who is terrence malick,3
