,label_ind,label,text
0,8,empty,tiffanylue i know i was listenin to bad habit earlier and i started freakin at his part
1,10,sadness,layin n bed with a headache ughhhhwaitin on your call
2,10,sadness,funeral ceremonygloomy friday
3,2,enthusiasm,wants to hang out with friends soon
4,7,neutral,dannycastillo we want to trade with someone who has houston tickets but no one will
5,6,worry,repinging ghostridah14 why did not you go to prom bc my bf did not like my friends
6,10,sadness,i should be sleep but im not thinking about an old friend who i want but he is married now damn amp he wants me 2 scandalous
7,6,worry,hmmm httpwwwdjherocom is down
8,10,sadness,charviray charlene my love i miss you
9,10,sadness,kelcouch i am sorry at least it is friday
10,7,neutral,cant fall asleep
11,6,worry,choked on her retainers
12,10,sadness,ugh i have to beat this stupid song to get to the next rude
13,10,sadness,brodyjenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late i just watch itonlinelol
14,9,surprise,got the news
15,10,sadness,the storm is here and the electricity is gone
16,12,love,annarosekerr agreed
17,10,sadness,so sleepy again and it is not even that late i fail once again
18,6,worry,perezhilton lady gaga tweeted about not being impressed by her video leaking just so you know
19,10,sadness,how are you convinced that i have always wanted you what signals did i give offdamn i think i just lost another friend
20,6,worry,raaaaaaek oh too bad i hope it gets better i have been having sleep issues lately too
21,1,fun,wondering why i am awake at 7amwriting a new songplotting my evil secret plots muahahahaoh damn itnot secret anymore
22,7,neutral,no topic maps talks at the balisage markup conference 2009 program online at httptrimml6z via bobdc topicmaps
23,6,worry,i ate something i do not know what it is why do i keep telling things about food
24,10,sadness,so tired and i think i am definitely going to get an ear infection going to bed quotearlyquot for once
25,6,worry,on my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggersdamn i feel old
26,10,sadness,isaacmascote i am sorry people are so rude to you isaac they should get some manners and know better than to be so lewd
27,6,worry,damm servers still down i need to hit 80 before all the koxpers pass me
28,10,sadness,fudge just bsd that whole paper so tired ugh i hate school time to sleep
29,6,worry,i hate cancer i hate it i hate it i hate it
30,0,hate,it is so annoying when she starts typing on her computer in the middle of the night
31,7,neutral,cynthia123 i cant sleep
32,7,neutral,i missed the bly bus
33,7,neutral,feels strong contractions but wants to go out httpplurkcompwxidk
34,7,neutral,socal stoked or maybe not tomorrow
35,7,neutral,screw you davidbrussee i only have 3 weeks
36,10,sadness,etherradio yeah s i feel all funny cause i have not slept enough i woke my mum up cause i was singing she is not impressed s you
37,6,worry,i need skott right now
38,7,neutral,has work this afternoon
39,7,neutral,gabbyisactive aw you would not unfollow me would you then i would cry
40,3,happiness,mmm much better day so far it is still quite early last day of uds
41,1,fun,davidarchie lt3 your gonna be the first twitter cause your amazing lol come to canada would do anything to see you perform
42,6,worry,just picked up her blackberry from the middle of the street both she and it are crushed
