,text,label
0,what is the protagonist s name in dostoevski s the idiot,4
1,where can one find information on religion and health the brain and nutrition,16
2,how far can you see,43
3,what is the website for the usa journal,16
4,name the country which honecker lived in,19
5,what german city do italians call the monaco of bavaria,22
6,who died with more than 1 000 us patents to his credit,4
7,when did nixon die,8
8,who was the supreme god of germanic religion,4
9,how many times can a nickelcadmium rechargeable battery be recharged,13
10,what lawyer won the largest divorce settlement 85 million in us history for sheika dena alfarri,4
11,where is poe s birthplace,16
12,what facial feature did walt disney sport that none of disney s employees is allowed to,12
13,how was the kennedy money made,0
14,what country buys 25 percent of the world s tea exports,19
15,what company s trademark was his master s voice,5
16,how many mountains have been named for presidents in the continental usa,13
17,how much money does each player get at the beginning of the game in monopoly,26
18,what is another word that means knows all,39
19,what was the nationality of jackson pollock,19
20,how many syllables are there in a line of hendecasyllabic poetry,13
21,what do you get by mixing gin and vermouth,18
22,what is ecommerce,7
23,how many engines does a boeing 737 have,13
24,what are you caught in if a haboob blows up,14
25,where is the world championship sled dog race held each february,16
26,what is the origin of the word marijuana,12
27,what is the population in india,13
28,how much did mercury spend on advertising in 1993,26
29,which bloom county resident wreaks havoc with a computer,4
30,what is swap math,7
31,what was the name of the lawyer who represented randy craft,4
32,what is the nickname of pennsylvania,11
33,what term does a czech use to describe a pole,21
34,why do recipe books recommend starting with cold water when you boil something,9
35,how many were in attendance at the last supper,13
36,what boxer s life story is titled raging bull,4
37,what was cashconscious colonel edwin l drake the first to drill,14
38,what professional sports league originated the college draft,5
39,how do i tie dye clothes,0
40,what seven digits follow the area code in the number for long distance information,42
41,what is the bestselling television soundtrack of all time,1
42,who is the richest person in the world,4
43,what jules verne novel features scientists held captive in the submarine nautilus,1
44,how many people die from tuberculosis each year,13
45,what was paper made of in the late 16th century,29
46,mississippi has what name for a state nickname,11
47,what is the chemical symbol for nitrogen,45
48,what is a urologist,7
49,what is the oldest ethnological museum in the world,16
50,what does rca stand for,3
51,what states do not have state income tax,11
52,what novel has big brother watching,1
53,what is the gay science,7
54,what document did president andrew johnson want a copy of placed under his head upon his burial,1
55,what invention does the principle of conservation of energy make impossible,32
56,which former ku klux klan member won an elected office in the us,4
57,what building built in 18 contains 327 miles of book shelves,16
58,what are some interesting facts and information about dogsledding,12
59,what is the most powerful country in the world,19
60,what is meant by the term yield to maturity in reference to bonds,7
61,what is the fastest fish in the world,2
62,what is hyperopia,7
63,what causes the body to shiver in cold temperatures,9
64,who has more dna a man or a woman,4
65,what pseudonym did william sydney porter use in writing the gift of the magi,4
66,what is the average weight for a man,48
67,when did israel begin turning the gaza strip and jericho over to the plo,8
68,what is mikhail gorbachev s middle initial,36
69,what is the name of a salt lake city newspaper,1
70,what color were ernest hemingway s eyes,20
71,what two countries share the khyber pass,19
72,what did dan aykroyd and john belushi quit saturday night live to become,14
